PDB code,Protein name
2f6t,"PROTEIN-TYROSINE PHOSPHATASE, NON-RECEPTOR TYPE 1"
2xm2,O-GLCNACASE BT_4395
3f5k,BETA-GLUCOSIDASE
3tk2,PHENYLALANINE-4-HYDROXYLASE
3u90,FERRITIN LIGHT CHAIN
3umq,PEPTIDOGLYCAN RECOGNITION PROTEIN 1
4abf,TRYPSIN
4ad3,GLYCOSYL HYDROLASE FAMILY 71
4ynl,HETEROCYST DIFFERENTIATION CONTROL PROTEIN
5jgq,NEUROPILIN-1
6f1j,PROTEIN
3uj9,PHOSPHOETHANOLAMINE N-METHYLTRANSFERASE
4hzm,BETA-HEXOSAMINIDASE
5ji8,BROMODOMAIN-CONTAINING PROTEIN 9
5n34,THERMOLYSIN
4psb,CYTOKININ-SPECIFIC BINDING PROTEIN
5e73,BROMODOMAIN ADJACENT TO ZINC FINGER DOMAIN PROTEIN 2B
5jhk,NEUROPILIN-1
6qlu,GALECTIN-3
3qtv,THROMBIN
4q93,"TYROSINE--TRNA LIGASE, CYTOPLASMIC"
4w9c,TRANSCRIPTION ELONGATION FACTOR B POLYPEPTIDE 2
6b98,"CGMP-DEPENDENT 3',5'-CYCLIC PHOSPHODIESTERASE"
1bzj,PROTEIN-TYROSINE PHOSPHATASE
1h4w,TRYPSIN IVA
1m1b,PHOSPHOENOLPYRUVATE PHOSPHOMUTASE
2ca8,GLUTATHIONE S-TRANSFERASE
2ha2,ACETYLCHOLINESTERASE
3ddf,ALPHA-MANNOSIDASE II
3mss,TYROSINE-PROTEIN KINASE ABL1
4tt2,ATPASE FAMILY AAA DOMAIN-CONTAINING PROTEIN 2
5j1r,ETHR
5o1d,CELLULAR TUMOR ANTIGEN P53
6ezq,SERUM ALBUMIN
6g2c,HISTONE-LYSINE N-METHYLTRANSFERASE NSD3
6ooy,TUMOR NECROSIS FACTOR
6pg7,WD REPEAT-CONTAINING PROTEIN 5
6qln,GALECTIN-3
3vw1,PUTATIVE REGULATORY PROTEIN
4gkh,AMINOGLYCOSIDE 3'-PHOSPHOTRANSFERASE APHA1-IAB
4nku,POLY(A) RNA POLYMERASE PROTEIN CID1
5jsq,HYPOXANTHINE-GUANINE PHOSPHORIBOSYLTRANSFERASE
1c5p,TRYPSIN
1wn6,BLASTICIDIN-S DEAMINASE
2nsl,PHOSPHORIBOSYL-AMINOIMIDAZOLE CARBOXYLASE
2uy4,ENDOCHITINASE
2ypo,PHOSPHO-2-DEHYDRO-3-DEOXYHEPTONATE ALDOLASE AROG
3g35,BETA-LACTAMASE CTX-M-9A
4lar,SINGLE HEAVY CHAIN VARIABLE FRAGMENT
4ymg,PUTATIVE SAM-DEPENDENT O-METHYLTRANFERASE
5a5q,ATPASE FAMILY AAA DOMAIN-CONTAINING PROTEIN 2
5aoj,CELLULAR TUMOR ANTIGEN P53
5eq1,PEREGRIN
5fe9,HISTONE ACETYLTRANSFERASE KAT2B
5k1d,BETA-LACTAMASE
5kab,"TYROSINE-PROTEIN PHOSPHATASE, NON-RECEPTOR TYPE 1"
6bm6,METHIONINE SYNTHASE
6ift,RIBOSOMAL RNA SMALL SUBUNIT METHYLTRANSFERASE A
2rio,SERINE/THREONINE-PROTEIN KINASE/ENDORIBONUCLEASE
3ujd,PHOSPHOETHANOLAMINE N-METHYLTRANSFERASE
4agp,CELLULAR TUMOR ANTIGEN P53
4mgd,ESTROGEN RECEPTOR
4tpw,EUKARYOTIC TRANSLATION INITIATION FACTOR 4E
6mg5,LIGHT CHAIN JTO
1c5n,THROMBIN ALPHA
1c86,PROTEIN-TYROSINE PHOSPHATASE 1B
2cex,PROTEIN HI0146
2dw7,BLL6730 PROTEIN
2fu8,METALLO-BETA-LACTAMASE L1
2i2c,INORGANIC POLYPHOSPHATE/ATP-NAD KINASE
3kiv,APOLIPOPROTEIN
3nkk,TRYPSIN
3suw,BETA-HEXOSAMINIDASE
4j7d,E3 UBIQUITIN-PROTEIN LIGASE MDM2
4j93,GAG PROTEIN
4luz,REPLICATION PROTEIN A 70 KDA DNA-BINDING SUBUNIT
4lzr,BROMODOMAIN-CONTAINING PROTEIN 4
5h85,CREB-BINDING PROTEIN
5wbm,KETOHEXOKINASE
6fba,ASPARTATE TRANSCARBAMOYLASE
6gj6,GTPASE KRAS
6jbe,"ABC TRANSPORTER, PERIPLASMIC SUBSTRATE-BINDING PROTEIN"
6p86,UDP-3-O-(3-HYDROXYMYRISTOYL)GLUCOSAMINE N-ACYLTRANSFERASE
6r13,CEREBLON ISOFORM 4
1v2t,TRYPSIN
4ljh,PA-I GALACTOPHILIC LECTIN
4yb5,ATP PHOSPHORIBOSYLTRANSFERASE
5his,PQSE
5kma,HISTIDINE TRIAD NUCLEOTIDE-BINDING PROTEIN 1
5otc,NOPALINE-BINDING PERIPLASMIC PROTEIN
6evn,PROLYL 4-HYDROXYLASE SUBUNIT ALPHA-2
6ueg,ACYL-[ACYL-CARRIER-PROTEIN]--UDP-N-ACETYLGLUCOSAMINE O
184l,T4 LYSOZYME
1vso,"GLUTAMATE RECEPTOR, IONOTROPIC KAINATE 1"
3ebo,GLYCOGEN PHOSPHORYLASE
3f6g,ALPHA-ISOPROPYLMALATE SYNTHASE
4zw7,M1 FAMILY AMINOPEPTIDASE
5hjq,LD10117P
6qqw,TRNA (GUANINE-N(1)-)-METHYLTRANSFERASE
1v2o,TRYPSIN BETA
4ayu,SERUM AMYLOID P-COMPONENT
5gmn,CARBONIC ANHYDRASE 2
1bty,TRYPSIN BETA
1w4p,RIBONUCLEASE A
2e2p,HEXOKINASE
4ih6,RNA-DIRECTED RNA POLYMERASE
4jxs,BETA-LACTAMASE
4kyk,LACTOYLGLUTATHIONE LYASE
5k03,CATECHOL O-METHYLTRANSFERASE
5ov8,PEREGRIN
6eq5,"7,8-DIHYDRO-8-OXOGUANINE TRIPHOSPHATASE"
6szp,"N(G),N(G)-DIMETHYLARGININE DIMETHYLAMINOHYDROLASE 1"
6t1j,PROTEIN ENL
3nim,E3 UBIQUITIN-PROTEIN LIGASE UBR1
3vw2,PUTATIVE REGULATORY PROTEIN
1q8t,CAMP-DEPENDENT PROTEIN KINASE
3acw,DEHYDROSQUALENE SYNTHASE
3o5n,SH3 AND MULTIPLE ANKYRIN REPEAT DOMAINS PROTEIN 3
4wop,ATP-DEPENDENT DETHIOBIOTIN SYNTHETASE BIOD
5lne,PUTATIVE FML FIMBRIAL ADHESIN FMLD
1str,STREPTAVIDIN
2afw,GLUTAMINYL-PEPTIDE CYCLOTRANSFERASE
2b4l,GLYCINE BETAINE-BINDING PROTEIN
3d50,ALPHA-MANNOSIDASE II
3iqu,14-3-3 PROTEIN SIGMA
3rm9,ACIDIC MAMMALIAN CHITINASE
4kax,ADP-RIBOSYLATION FACTOR 6
4uoh,NUCLEOSIDE DIPHOSPHATE KINASE
5iyy,NEUROPILIN-1
5mkr,HEAT SHOCK 70 KDA PROTEIN 1A
5mks,HEAT SHOCK 70 KDA PROTEIN 1A
5o5a,PEREGRIN
5orj,"CASEIN KINASE II, ALPHA SUBUNIT"
6fgg,BROMODOMAIN ADJACENT TO ZINC FINGER DOMAIN PROTEIN 2A
6mkw,LYSINE/ARGININE/ORNITHINE TRANSPORT PROTEIN
6t1l,PROTEIN ENL
4ad6,"7,8-DIHYDRO-6-HYDROXYMETHYLPTERIN-PYROPHOSPHOKINASE"
6czc,ATP-DEPENDENT DETHIOBIOTIN SYNTHETASE BIOD
1oss,TRYPSIN
2nsj,PHOSPHORIBOSYL-AMINOIMIDAZOLE CARBOXYLASE
3eb1,"PROTEIN-TYROSINE PHOSPHATASE, NON-RECEPTOR TYPE 1"
5k1f,BETA-LACTAMASE
1bju,TRYPSIN BETA
1ghz,TRYPSIN BETA
2nta,"PROTEIN-TYROSINE PHOSPHATASE, NON-RECEPTOR TYPE 1"
3bpc,ANTIBODY FAB FRAGMENT
3dnd,CAMP-DEPENDENT PROTEIN KINASE
4aq6,"HOMOGENTISATE 1,2-DIOXYGENASE"
4llp,"CGMP 3',5'-CYCLIC PHOSPHODIESTERASE"
4lzs,BROMODOMAIN-CONTAINING PROTEIN 4
4pb2,NUPC FAMILY PROTEIN
5j3l,HTH-TYPE TRANSCRIPTIONAL REGULATOR ETHR
5jzi,HLA CLASS I HISTOCOMPATIBILITY ANTIGEN
6jap,"ABC TRANSPORTER, PERIPLASMIC SUBSTRATE-BINDING PROTEIN"
4ago,CELLULAR TUMOR ANTIGEN P53
6p84,UDP-3-O-(3-HYDROXYMYRISTOYL)GLUCOSAMINE N-ACYLTRANSFERASE
1aid,HIV-1 PROTEASE
1dud,DEOXYURIDINE 5'-TRIPHOSPHATE NUCLEOTIDOHYDROLASE
1f8e,NEURAMINIDASE
1v1j,3-DEHYDROQUINATE DEHYDRATASE
1xff,GLUCOSAMINE-FRUCTOSE-6-PHOSPHATE
1y3p,"ALGINATE-BINDING PROTEIN, ALGQ1"
2gl0,CONSERVED HYPOTHETICAL PROTEIN
2gzl,"2-C-METHYL-D-ERYTHRITOL 2,4-CYCLODIPHOSPHATE SYNTHASE"
2pwg,SUCROSE ISOMERASE
2ypi,TRIOSEPHOSPHATE ISOMERASE
3kmx,BETA-SECRETASE 1
3r88,ANTHRANILATE PHOSPHORIBOSYLTRANSFERASE
3vd4,BETA-GALACTOSIDASE
4ciw,3-DEHYDROQUINATE DEHYDRATASE
4fys,AMINOPEPTIDASE N
4ih3,2-AMINO-3-CARBOXYMUCONATE-6-SEMIALDEHYDE DECARBOXYL
4io6,AVGLUR1 LIGAND BINDING DOMAIN
4kwf,ALDEHYDE DEHYDROGENASE
4rlu,(3R)-HYDROXYACYL-ACP DEHYDRATASE SUBUNIT HADA
5ewa,BETA-LACTAMASE IMP-1
6aox,FML FIMBRIAL ADHESIN FMLD
6d17,CARBAPENEM-HYDROLYZING BETA-LACTAMASE KPC
6h2t,PROBABLE GLUTAMINE-BINDING LIPOPROTEIN GLNH (GLNBP)
6qlr,GALECTIN-3
5efa,POLYMERASE BASIC PROTEIN 2
3vvy,PUTATIVE REGULATORY PROTEIN
4kif,METHYLTRANSFERASE MPPJ
4uof,NUCLEOSIDE DIPHOSPHATE KINASE
5d1r,RV1816 TRANSCRIPTIONAL REGULATOR
6jfk,"MITOFUSIN-2,CDNA FLJ57997, HIGHLY SIMILAR TO TRANSMEMBRANE"
186l,T4 LYSOZYME
1c83,PROTEIN-TYROSINE PHOSPHATASE 1B
1ecv,PROTEIN-TYROSINE PHOSPHATASE 1B
1n51,XAA-PRO AMINOPEPTIDASE
1qji,ASTACIN
1xgi,BETA-LACTAMASE
2qwd,NEURAMINIDASE
2r9x,BETA-LACTAMASE
2w4x,O-GLCNACASE BT_4395
3cj2,RNA-DIRECTED RNA POLYMERASE
3f70,LETHAL(3)MALIGNANT BRAIN TUMOR-LIKE 2 PROTEIN
3ohi,"PUTATIVE FRUCTOSE-1,6-BISPHOSPHATE ALDOLASE"
3ru1,BETA-SECRETASE 1
3zyf,PA-I GALACTOPHILIC LECTIN
4hpi,LYSOZYME C
4iic,BETA-GLUCOSIDASE 1
4j7e,E3 UBIQUITIN-PROTEIN LIGASE MDM2
4ovh,DNA POLYMERASE III SUBUNIT BETA
4q87,CARBONIC ANHYDRASE 2
5efc,POLYMERASE BASIC PROTEIN 2
5ewk,PUTATIVE ADP-RIBOSYLTRANSFERASE SCABIN
5jsg,SPINDLIN-1
5o1h,CELLULAR TUMOR ANTIGEN P53
6gga,CELLULAR TUMOR ANTIGEN P53
2brb,SERINE/THREONINE-PROTEIN KINASE CHK1
5yfs,"RIBOSE 1,5-BISPHOSPHATE ISOMERASE"
6jao,"ABC TRANSPORTER, PERIPLASMIC SUBSTRATE-BINDING PROTEIN"
4ipj,POLYSIALIC ACID CAPSULE BIOSYNTHESIS PROTEIN SIAC
4q0k,PHYTOHORMONE BINDING PROTEIN MTPHBP
4rlw,(3R)-HYDROXYACYL-ACP DEHYDRATASE SUBUNIT HADA
4rra,PROBABLE THREONINE--TRNA LIGASE 2
3exh,PYRUVATE DEHYDROGENASE E1 COMPONENT SUBUNIT
3lp4,ARGINASE-1
3pju,CYCLIC DIMERIC GMP BINDING PROTEIN
5nwe,NEURAMINIDASE
6jon,PRIMASE
1p1q,GLUTAMATE RECEPTOR 2
2aoc,HIV-1 PROTEASE
2j77,BETA-GLUCOSIDASE A
2vo5,BETA-MANNOSIDASE
3d4z,ALPHA-MANNOSIDASE II
3juk,UDP-GLUCOSE PYROPHOSPHORYLASE (GALU)
3m8u,HEME-BINDING PROTEIN A
4l9i,RHODOPSIN KINASE
4pnu,DNA POLYMERASE III SUBUNIT BETA
5hbn,NEGATIVE REGULATOR OF GENETIC COMPETENCE CLPC/MECB
5ii2,PROTEIN POLYBROMO-1
5ipc,HISTIDINE TRIAD NUCLEOTIDE-BINDING PROTEIN 1
5j7w,THYMIDYLATE SYNTHASE
5l3a,TYROSINE-PROTEIN KINASE JAK2
5o9o,"1,3-BETA-GLUCANOSYLTRANSFERASE GAS2"
5oha,CEREBLON ISOFORM 4
5z7b,PADR FAMILY TRANSCRIPTIONAL REGULATOR
6i5g,BIFUNCTIONAL EPOXIDE HYDROLASE 2
6jdl,NITROGEN ASSIMILATION REGULATORY PROTEIN
6qrc,TRNA (GUANINE-N(1)-)-METHYLTRANSFERASE
3cf8,(3R)-HYDROXYMYRISTOYL-ACYL CARRIER PROTEIN
1km3,OROTIDINE 5'-MONOPHOSPHATE DECARBOXYLASE
5l8a,PEROXIN 14
6dgr,PEROXISOME PROLIFERATOR-ACTIVATED RECEPTOR GAMMA
1bzc,PROTEIN-TYROSINE PHOSPHATASE 1B
1e1v,CELL DIVISION PROTEIN KINASE 2
1jqy,HEAT-LABILE ENTEROTOXIN B CHAIN
2haw,MANGANESE-DEPENDENT INORGANIC PYROPHOSPHATASE
3eax,"PROTEIN-TYROSINE PHOSPHATASE, NON-RECEPTOR TYPE 1"
3rv8,ISOCHORISMATE SYNTHASE/ISOCHORISMATE-PYRUVATE LYASE
4j47,E3 UBIQUITIN-PROTEIN LIGASE XIAP
5d3t,BROMODOMAIN-CONTAINING PROTEIN 4
5evk,METALLO-BETA-LACTAMASE L1
5otr,"CASEIN KINASE II, ALPHA SUBUNIT"
6dq4,LINKED KDM5A JMJ DOMAIN
6j0o,LIPID-TRANSFER PROTEIN CERT
6pg9,WD REPEAT-CONTAINING PROTEIN 5
6qqv,TRNA (GUANINE-N(1)-)-METHYLTRANSFERASE
6r11,CEREBLON ISOFORM 4
6r18,CEREBLON ISOFORM 4
3uxk,MANDELATE RACEMASE
4ido,ATLASTIN-1
1e2k,THYMIDINE KINASE
2gss,GLUTATHIONE S-TRANSFERASE P1-1
2vo4,GLUTATHIONE S-TRANSFERASE
2vpe,PYGOPUS HOMOLOG 1
4dmw,TOXIN A
4ts1,TYROSYL-TRNA SYNTHETASE
6hmg,GLYCOSYL HYDROLASE FAMILY 71
1jn4,RIBONUCLEASE A
2x95,ANGIOTENSIN-CONVERTING ENZYME
4bup,HISTONE-LYSINE N-METHYLTRANSFERASE SUV420H1
5yz2,MAGNESIUM AND COBALT EFFLUX PROTEIN CORC
1dar,ELONGATION FACTOR G
1elr,TPR2A-DOMAIN OF HOP
1o5g,PROTHROMBIN
1tsy,THYMIDYLATE SYNTHASE
1uz8,"ANTIBODY FAB (IGG3,KAPPA) LIGHT CHAIN 291-2G3-A"
2vjx,BETA-MANNOSIDASE
2w67,O-GLCNACASE BT_4395
3bxg,CENTRAL GLYCOLYTIC GENE REGULATOR
3veh,ISOCHORISMATE SYNTHASE/ISOCHORISMATE-PYRUVATE LYASE
3zsq,HIV-1 INTEGRASE
4jsa,CARBONIC ANHYDRASE 2
4rlt,(3R)-HYDROXYACYL-ACP DEHYDRATASE SUBUNIT HADA
5ioz,TETR-FAMILY TRANSCRIPTIONAL REGULATORY REPRESSOR PROTEIN
6gjw,E3 UBIQUITIN-PROTEIN LIGASE XIAP
6pg5,WD REPEAT-CONTAINING PROTEIN 5
6pia,ACETYLPOLYAMINE AMIDOHYDROLASE
6r0v,CEREBLON ISOFORM 4
3qbc,2-AMINO-4-HYDROXY-6-HYDROXYMETHYLDIHYDROPTERIDINE
4e3g,CARBONIC ANHYDRASE 2
4in9,KARILYSIN PROTEASE
6arm,F9 PILUS ADHESIN FMLH
2w47,"LIPOLYTIC ENZYME, G-D-S-L"
4re2,BETA-MANNOSIDASE/BETA-GLUCOSIDASE
6jof,TRNA (GUANINE-N(1)-)-METHYLTRANSFERASE
4w9d,TRANSCRIPTION ELONGATION FACTOR B POLYPEPTIDE 2
5gj9,1-AMINOCYCLOPROPANE-1-CARBOXYLATE OXIDASE 2
6gnw,TRANSTHYRETIN
6p85,UDP-3-O-(3-HYDROXYMYRISTOYL)GLUCOSAMINE N-ACYLTRANSFERASE
1c84,PROTEIN-TYROSINE PHOSPHATASE 1B
1hlk,BETA-LACTAMASE TYPE II
1nc3,MTA/SAH NUCLEOSIDASE
1o35,TRYPSIN BETA
1ql7,TRYPSIN
2oiq,TYROSINE-PROTEIN KINASE SRC
2oym,ENDOGLYCOCERAMIDASE II
2vxn,TRIOSEPHOSPHATE ISOMERASE
3cfn,TRANSTHYRETIN
3gbe,SUCROSE ISOMERASE SMUA
3k02,ACARBOSE/MALTOSE BINDING PROTEIN GACH
3p9m,"H-2 CLASS I HISTOCOMPATIBILITY ANTIGEN, K-B"
4czs,CONCANAVALIN-A
4u6c,METHIONINE AMINOPEPTIDASE 1
4xoe,FIMH PROTEIN
4xxh,HTH-TYPE TRANSCRIPTIONAL REGULATOR TRER
5evb,METALLO-BETA-LACTAMASE L1
5evd,METALLO-BETA-LACTAMASE L1
5itp,NOPALINE-BINDING PERIPLASMIC PROTEIN
5x54,KELCH-LIKE ECH-ASSOCIATED PROTEIN 1
5yft,"RIBOSE 1,5-BISPHOSPHATE ISOMERASE"
1ppi,ALPHA-AMYLASE
2glp,(3R)-HYDROXYMYRISTOYL-ACYL CARRIER PROTEIN
4agq,CELLULAR TUMOR ANTIGEN P53
5oa2,"1,3-BETA-GLUCANOSYLTRANSFERASE GAS2"
6g2e,HISTONE-LYSINE N-METHYLTRANSFERASE NSD3
6p89,UDP-3-O-(3-HYDROXYMYRISTOYL)GLUCOSAMINE N-ACYLTRANSFERASE
2d0k,DIHYDROFOLATE REDUCTASE
2xbp,NITROGEN REGULATORY PROTEIN P-II
3bgc,HIV-1 PROTEASE
3usx,PEPTIDOGLYCAN RECOGNITION PROTEIN 1
4u70,METHIONINE AMINOPEPTIDASE 1
4w9l,TRANSCRIPTION ELONGATION FACTOR B POLYPEPTIDE 2
6hgf,ALPHA-1-ANTICHYMOTRYPSIN
1i1e,BOTULINUM NEUROTOXIN TYPE B
4io5,AVGLUR1 LIGAND BINDING DOMAIN
4np9,RABPHILIN-3A
5mrm,2-C-METHYL-D-ERYTHRITOL 4-PHOSPHATE CYTIDYLYLTRANSFERASE
5n3y,THERMOLYSIN
3tz0,3-METHYL-2-OXOBUTANOATE DEHYDROGENASE
4jym,"HYDROLASE, ALPHA/BETA FOLD FAMILY PROTEIN"
4lk7,PA-I GALACTOPHILIC LECTIN
5d3n,BROMODOMAIN-CONTAINING PROTEIN 4
5f25,BROMODOMAIN-CONTAINING PROTEIN 9
5lyn,SMALL GLUTAMINE-RICH TETRATRICOPEPTIDE REPEAT-CONTAINING
5ovp,SH3 AND MULTIPLE ANKYRIN REPEAT DOMAINS PROTEIN 3
6ajv,BROMODOMAIN-CONTAINING PROTEIN 4
6j7e,NITROGEN ASSIMILATION REGULATORY PROTEIN
1dgm,ADENOSINE KINASE
1fkw,ADENOSINE DEAMINASE
1qxk,"PROTEIN-TYROSINE PHOSPHATASE, NON-RECEPTOR TYPE 1"
3aau,TRYPSIN
3s76,CARBONIC ANHYDRASE 2
4euo,"ABC TRANSPORTER, SUBSTRATE BINDING PROTEIN"
4oct,RNA DEMETHYLASE ALKBH5
4rqv,3-PHOSPHOINOSITIDE-DEPENDENT PROTEIN KINASE 1
4yzu,COAGULATION FACTOR IX
5i3a,TYROSINASE
6d50,"GLYCOSYL HYDROLASES FAMILY 2, SUGAR BINDING DOMAIN PROTEIN"
6exi,ADENOSYLHOMOCYSTEINASE
6kjd,PC15G00720 PROTEIN
6mlg,LYSINE/ARGININE/ORNITHINE-BINDING PERIPLASMIC PROTEIN
2v77,CARBOXYPEPTIDASE A1
2yge,HEAT SHOCK PROTEIN HSP82
3f68,PROTHROMBIN
4h7q,3-METHYL-2-OXOBUTANOATE DEHYDROGENASE
5a2i,IG LAMBDA-1 CHAIN V REGION S43
5c1w,"CGMP 3',5'-CYCLIC PHOSPHODIESTERASE"
6qlo,GALECTIN-3
2c3l,SERINE/THREONINE-PROTEIN KINASE CHK1
2xm1,O-GLCNACASE BT_4395
2yfa,METHYL-ACCEPTING CHEMOTAXIS TRANSDUCER
3juo,PHENAZINE BIOSYNTHESIS PROTEIN A/B
5hwv,SENSOR HISTIDINE KINASE TODS
5u12,DIHYDROPTEROATE SYNTHASE
6j9y,"ABC TRANSPORTER, PERIPLASMIC SUBSTRATE-BINDING PROTEIN"
6jtc,ASP/GLU-SPECIFIC DIPEPTIDYL-PEPTIDASE
6n0k,PIRIN
6qr1,TRNA (GUANINE-N(1)-)-METHYLTRANSFERASE
6r4k,BETA-GLUCOSIDASE A
1enu,TRNA GUANINE TRANSGLYCOSYLASE
1gfy,PROTEIN-TYROSINE PHOSPHATASE 1B
2qtg,5'-METHYLTHIOADENOSINE NUCLEOSIDASE
3tb6,ARABINOSE METABOLISM TRANSCRIPTIONAL REPRESSOR
4oiv,BILE ACID RECEPTOR
5n2t,THERMOLYSIN
6d16,CARBAPENEM-HYDROLYZING BETA-LACTAMASE KPC
1m48,INTERLEUKIN-2
1nw7,MODIFICATION METHYLASE RSRI
2ygf,HEAT SHOCK PROTEIN HSP82
5fhm,GLUTAMATE RECEPTOR 2
5o9p,"1,3-BETA-GLUCANOSYLTRANSFERASE GAS2"
6n3x,HISTIDINE TRIAD NUCLEOTIDE-BINDING PROTEIN 1
1ez9,MALTOSE-BINDING PERIPLASMIC PROTEIN
1kmy,"BIPHENYL-2,3-DIOL 1,2-DIOXYGENASE"
1od8,"ENDO-1,4-BETA-XYLANASE A"
1onz,"PROTEIN-TYROSINE PHOSPHATASE, NON-RECEPTOR TYPE 1"
1v0k,"ENDO-1,4-BETA-XYLANASE A"
1w7g,THROMBIN
2r9w,BETA-LACTAMASE
3gy4,TRYPSIN BETA
3p4v,CARBONIC ANHYDRASE 2
4dcs,GTP-BINDING PROTEIN ENGA
5d3h,BROMODOMAIN-CONTAINING PROTEIN 4
6ce6,HISTONE DEACETYLASE 6
6md6,BETA-D-GLUCAN EXOHYDROLASE ISOENZYME EXOI
6s56,ATPASE FAMILY AAA DOMAIN-CONTAINING PROTEIN 2
6s57,ATPASE FAMILY AAA DOMAIN-CONTAINING PROTEIN 2
1k4h,TRNA GUANINE TRANSGLYCOSYLASE
1yp9,TRYPSIN
3k4d,BETA-GLUCURONIDASE
3ozj,RETINOIC ACID RECEPTOR RXR-ALPHA
4qfl,ABC TRANSPORTER PERIPLASMIC PEPTIDE-BINDING PROTEIN
5kej,TAU CLASS GLUTATHIONE S-TRANSFERASE
5u0e,CARBONIC ANHYDRASE 2
6jdi,NITROGEN ASSIMILATION REGULATORY PROTEIN
1qaw,TRP RNA-BINDING ATTENUATION PROTEIN
1uv6,ACETYLCHOLINE-BINDING PROTEIN
2web,PENICILLOPEPSIN
3zso,HIV-1 INTEGRASE
4f1l,POLY [ADP-RIBOSE] POLYMERASE 14
4h81,3-METHYL-2-OXOBUTANOATE DEHYDROGENASE
5f74,14-3-3 PROTEIN BETA/ALPHA
6i13,FASCIN
6n95,METHYLMALONYL-COA DECARBOXYLASE
6qe5,RIBOSOMAL RNA LARGE SUBUNIT METHYLTRANSFERASE J
3s9e,"GLUTAMATE RECEPTOR, IONOTROPIC KAINATE 3"
5d3p,BROMODOMAIN-CONTAINING PROTEIN 4
6f9u,ANGIOTENSIN-CONVERTING ENZYME
6j9w,"ABC TRANSPORTER, PERIPLASMIC SUBSTRATE-BINDING PROTEIN"
6st0,TAURINE-BINDING PERIPLASMIC PROTEIN
1y3x,TRYPSINOGEN
2br1,SERINE/THREONINE-PROTEIN KINASE CHK1
2yaz,DUTPASE
3tao,TRIOSEPHOSPHATE ISOMERASE
4ejl,HIV-1 PROTEASE
5kva,CAFFEOYL-COA O-METHYLTRANSFERASE
6dak,WD REPEAT-CONTAINING PROTEIN 5
1jcx,2-DEHYDRO-3-DEOXYPHOSPHOOCTONATE ALDOLASE
1jvu,RIBONUCLEASE A
1o0m,RIBONUCLEASE
1pb8,N-METHYL-D-ASPARTATE RECEPTOR SUBUNIT 1
1qk3,HYPOXANTHINE-GUANINE PHOSPHORIBOSYLTRANSFERASE
1s38,QUEUINE TRNA-RIBOSYLTRANSFERASE
1thz,BIFUNCTIONAL PURINE BIOSYNTHESIS PROTEIN PURH
2afx,GLUTAMINYL-PEPTIDE CYCLOTRANSFERASE
3ozr,CATECHOL O-METHYLTRANSFERASE
4h85,3-METHYL-2-OXOBUTANOATE DEHYDROGENASE
4jpx,PHENYLALANINE-4-HYDROXYLASE
4qrh,GUANYLATE KINASE
6aro,F9 PILUS ADHESIN FMLH
6nu5,PYRUVATE KINASE PKM
3b27,HEAT SHOCK PROTEIN HSP90-ALPHA
5ufc,TN4-22
6mjf,DBOPHM
6om8,UDP-GLUCOSE 6-DEHYDROGENASE
2zfp,THROMBIN
3b7j,(3R)-HYDROXYMYRISTOYL-ACYL CARRIER PROTEIN
4gkm,ANTHRANILATE PHOSPHORIBOSYLTRANSFERASE
5ahw,UNIVERSAL STRESS PROTEIN
5aut,DEATH-ASSOCIATED PROTEIN KINASE 1
5ohy,ALPHA-GLUCOSIDASE YIHQ
6cbf,MACROPHAGE MIGRATION INHIBITORY FACTOR
6g2f,HISTONE-LYSINE N-METHYLTRANSFERASE NSD3
6qqq,TRNA (GUANINE-N(1)-)-METHYLTRANSFERASE
1ft7,LEUCYL AMINOPEPTIDASE
3w37,ALPHA-GLUCOSIDASE
4duh,DNA GYRASE SUBUNIT B
4iif,BETA-GLUCOSIDASE 1
4u73,METHIONINE AMINOPEPTIDASE 1
1ocq,ENDOGLUCANASE 5A
1ogg,CHITINASE B
1oxr,"PHOSPHOLIPASE A2, ISOFORM 3"
1rnt,RIBONUCLEASE T1
2qdt,METALLO-BETA-LACTAMASE L1
4ezz,CHAPERONE PROTEIN DNAK
5otz,"CASEIN KINASE II, ALPHA SUBUNIT"
6arn,PUTATIVE FML FIMBRIAL ADHESIN FMLD
3ov1,GROWTH FACTOR RECEPTOR-BOUND PROTEIN 2
3uu1,ANTHRANILATE PHOSPHORIBOSYLTRANSFERASE
4a6s,PA-I GALACTOPHILIC LECTIN
4ezr,CHAPERONE PROTEIN DNAK
1nw5,MODIFICATION METHYLASE RSRI
1o2r,TRYPSIN BETA
4cwo,HEAT SHOCK PROTEIN HSP90-ALPHA
4few,AMINOGLYCOSIDE 3'-PHOSPHOTRANSFERASE APHA1-IAB
4je8,PEPTIDE DEFORMYLASE 1A
4m0r,ANTHRANILATE PHOSPHORIBOSYLTRANSFERASE
5o9q,"1,3-BETA-GLUCANOSYLTRANSFERASE GAS2"
5ty9,CARBONIC ANHYDRASE 2
5zyg,LIPID-TRANSFER PROTEIN CERT
6iht,PHOSPHORYLATED PROTEIN PHOSPHATASE
6t1m,PROTEIN ENL
1bq4,PHOSPHOGLYCERATE MUTASE 1
1j17,TRYPSIN BETA
1o5c,UROKINASE-TYPE PLASMINOGEN ACTIVATOR
1ucn,NUCLEOSIDE DIPHOSPHATE KINASE A
1w4o,RIBONUCLEASE A
1zea,ANTIBODY FAB FRAGMENT
